log,label,threat_type
"Jan 15 14:23:18 server4 apache2[8924]: 192.168.158.125 - - [28/Jan/2024:13:28:52 +0000] ""GET /about.html HTTP/1.1"" 200 2861",0,normal
Jan 21 17:52:15 server3 cron[2786]: (www-data) CMD (/usr/bin/backup.sh),0,normal
Jan 30 07:50:19 server1 cron[7164]: (service) CMD (/usr/bin/backup.sh),0,normal
"Jan 16 20:29:27 server2 apache2[7234]: 192.168.129.21 - - [17/Jan/2024:04:48:45 +0000] ""GET /contact.html HTTP/1.1"" 200 151",0,normal
Jan 10 04:03:05 server3 postfix/smtpd[1404]: connect from mail.example.com[192.168.24.162],0,normal
"Jan 16 01:45:21 server1 kernel: [40315] USB disconnect, address 6",0,normal
Jan 5 19:04:09 server3 NetworkManager[8585]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 13 01:51:00 server4 cron[8204]: (www-data) CMD (/usr/bin/cleanup.sh),0,normal
"Jan 16 00:30:47 server1 kernel: [86376] USB disconnect, address 1",0,normal
Jan 24 22:02:38 server3 cron[9987]: (admin) CMD (/usr/bin/update.sh),0,normal
Jan 3 07:10:13 server1 postfix/smtpd[1917]: connect from web.example.com[192.168.206.15],0,normal
Jan 3 05:00:46 server4 sshd[2396]: Accepted publickey for user1 from 192.168.87.15 port 22 ssh2,0,normal
"Jan 27 03:29:32 server2 apache2[3507]: 192.168.8.156 - - [17/Jan/2024:05:39:08 +0000] ""GET /api/status HTTP/1.1"" 200 4905",0,normal
Jan 26 06:04:56 server3 NetworkManager[7824]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 23 16:53:28 server2 cron[3223]: (user1) CMD (/usr/bin/update.sh),0,normal
Jan 26 23:45:02 server1 sshd[4053]: Accepted publickey for admin from 192.168.94.190 port 22 ssh2,0,normal
"Jan 9 00:53:08 server3 apache2[1870]: 192.168.136.253 - - [06/Jan/2024:22:05:03 +0000] ""GET /index.html HTTP/1.1"" 200 4619",0,normal
"Jan 9 06:11:36 server3 apache2[2462]: 192.168.195.36 - - [19/Jan/2024:16:25:04 +0000] ""GET /index.html HTTP/1.1"" 200 2222",0,normal
Jan 1 05:50:45 server1 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 7 08:23:29 server1 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
"Jan 2 09:16:55 server1 apache2[3739]: 192.168.3.73 - - [30/Jan/2024:21:44:48 +0000] ""GET /about.html HTTP/1.1"" 200 1140",0,normal
